[PC: c000] OPCODE 4c | A: 0 X: 0 Y: 0 P:24 SP:fd |jmp absolute c5f5
[PC: c5f5] OPCODE a2 | A: 0 X: 0 Y: 0 P:24 SP:fd |ldx AdressingMode[0] 0
[PC: c5f7] OPCODE 86 | A: 0 X: 0 Y: 0 P:26 SP:fd |stx AdressingMode[1] 0
[PC: c5f9] OPCODE 86 | A: 0 X: 0 Y: 0 P:26 SP:fd |stx AdressingMode[1] 0
[PC: c5fb] OPCODE 86 | A: 0 X: 0 Y: 0 P:26 SP:fd |stx AdressingMode[1] 0
[PC: c5fd] OPCODE 20 | A: 0 X: 0 Y: 0 P:26 SP:fd |jsr c72d
[PC: c72d] OPCODE ea | A: 0 X: 0 Y: 0 P:26 SP:fb |nop
[PC: c72e] OPCODE 38 | A: 0 X: 0 Y: 0 P:26 SP:fb |sec
[PC: c72f] OPCODE b0 | A: 0 X: 0 Y: 0 P:27 SP:fb |bcs 4
[PC: c735] OPCODE ea | A: 0 X: 0 Y: 0 P:27 SP:fb |nop
[PC: c736] OPCODE 18 | A: 0 X: 0 Y: 0 P:27 SP:fb |clc
[PC: c737] OPCODE b0 | A: 0 X: 0 Y: 0 P:26 SP:fb |bcs 3
[PC: c739] OPCODE 4c | A: 0 X: 0 Y: 0 P:26 SP:fb |jmp absolute c740
[PC: c740] OPCODE ea | A: 0 X: 0 Y: 0 P:26 SP:fb |nop
[PC: c741] OPCODE 38 | A: 0 X: 0 Y: 0 P:26 SP:fb |sec
[PC: c742] OPCODE 90 | A: 0 X: 0 Y: 0 P:27 SP:fb |bcc 3
[PC: c744] OPCODE 4c | A: 0 X: 0 Y: 0 P:27 SP:fb |jmp absolute c74b
[PC: c74b] OPCODE ea | A: 0 X: 0 Y: 0 P:27 SP:fb |nop
[PC: c74c] OPCODE 18 | A: 0 X: 0 Y: 0 P:27 SP:fb |clc
[PC: c74d] OPCODE 90 | A: 0 X: 0 Y: 0 P:26 SP:fb |bcc 4
[PC: c753] OPCODE ea | A: 0 X: 0 Y: 0 P:26 SP:fb |nop
[PC: c754] OPCODE a9 | A: 0 X: 0 Y: 0 P:26 SP:fb |lda AdressingMode[0] 0
[PC: c756] OPCODE f0 | A: 0 X: 0 Y: 0 P:26 SP:fb |beq 4 Zero flag[true]
[PC: c75c] OPCODE ea | A: 0 X: 0 Y: 0 P:26 SP:fb |nop
[PC: c75d] OPCODE a9 | A: 0 X: 0 Y: 0 P:26 SP:fb |lda AdressingMode[0] 40
[PC: c75f] OPCODE f0 | A:40 X: 0 Y: 0 P:24 SP:fb |beq 3 Zero flag[false]
[PC: c761] OPCODE 4c | A:40 X: 0 Y: 0 P:24 SP:fb |jmp absolute c768
[PC: c768] OPCODE ea | A:40 X: 0 Y: 0 P:24 SP:fb |nop
[PC: c769] OPCODE a9 | A:40 X: 0 Y: 0 P:24 SP:fb |lda AdressingMode[0] 40
[PC: c76b] OPCODE d0 | A:40 X: 0 Y: 0 P:24 SP:fb |bne 4
[PC: c771] OPCODE ea | A:40 X: 0 Y: 0 P:24 SP:fb |nop
[PC: c772] OPCODE a9 | A:40 X: 0 Y: 0 P:24 SP:fb |lda AdressingMode[0] 0
[PC: c774] OPCODE d0 | A: 0 X: 0 Y: 0 P:26 SP:fb |bne 3
[PC: c776] OPCODE 4c | A: 0 X: 0 Y: 0 P:26 SP:fb |jmp absolute c77d
[PC: c77d] OPCODE ea | A: 0 X: 0 Y: 0 P:26 SP:fb |nop
[PC: c77e] OPCODE a9 | A: 0 X: 0 Y: 0 P:26 SP:fb |lda AdressingMode[0] ff
[PC: c780] OPCODE 85 | A:ff X: 0 Y: 0 P:a4 SP:fb |sta AdressingMode[1] 255
